Город	Месяц	Название месяца	Дневная температура	Дождь	Осадки
Ноттингем	9	Сентябрь	+17.7°C	6	(6.10мм)
Ноттингем	10	Октябрь	+14.0°C	8	(11.30мм)
Ноттингем	11	Ноябрь	+9.3°C	8	(9.65мм)
Ноттингем	12	Декабрь	+6.6°C	9	(13.14мм)
Уотфорд	1	Январь	+6.3°C	1	(11.45мм)
Уотфорд	2	Февраль	+7.1°C	8	(11.18мм)
Уотфорд	3	Март	+10.2°C	9	(8.33мм)
Уотфорд	4	Апрель	+13.5°C	1	(8.87мм)
Уотфорд	5	Май	+16.1°C	1	(12.10мм)
Уотфорд	6	Июнь	+19.2°C	1	(12.44мм)
Уотфорд	7	Июль	+21.6°C	1	(12.44мм)
Уотфорд	8	Август	+20.9°C	1	(15.06мм)
Уотфорд	9	Сентябрь	+18.6°C	8	(8.10мм)
Уотфорд	10	Октябрь	+14.8°C	9	(11.90мм)
Уотфорд	11	Ноябрь	+10.1°C	1	(16.84мм)
Уотфорд	12	Декабрь	+7.4°C	1	(18.58мм)
Бернли	1	Январь	+4.7°C	1	(31.22мм)
Бернли	2	Февраль	+5.5°C	1	(26.96мм)
Бернли	3	Март	+7.9°C	1	(23.28мм)
Бернли	4	Апрель	+11.0°C	1	(21.55мм)
Бернли	5	Май	+13.6°C	1	(27.84мм)
Бернли	6	Июнь	+16.4°C	1	(32.21мм)
Бернли	7	Июль	+18.0°C	2	(39.16мм)
Бернли	8	Август	+17.2°C	2	(34.76мм)
Бернли	9	Сентябрь	+15.3°C	1	(26.97мм)
Бернли	10	Октябрь	+12.3°C	1	(32.29мм)
Бернли	11	Ноябрь	+8.1°C	1	(39.70мм)
Бернли	12	Декабрь	+5.7°C	1	(44.59мм)
Норидж	1	Январь	+6.3°C	1	(19.86мм)
Норидж	2	Февраль	+6.8°C	1	(17.30мм)
Норидж	3	Март	+8.9°C	1	(18.52мм)
Норидж	4	Апрель	+11.8°C	1	(11.19мм)
Норидж	5	Май	+14.2°C	1	(15.79мм)
Норидж	6	Июнь	+16.9°C	1	(17.45мм)
Норидж	7	Июль	+19.7°C	1	(22.65мм)
Норидж	8	Август	+20.0°C	1	(21.74мм)
Норидж	9	Сентябрь	+17.8°C	1	(15.60мм)
Норидж	10	Октябрь	+14.6°C	1	(24.18мм)
Норидж	11	Ноябрь	+10.4°C	1	(24.11мм)
Норидж	12	Декабрь	+7.4°C	1	(23.74мм)
Ливерпуль	1	Январь	+7.5°C	7	(80.4мм)
Ливерпуль	2	Февраль	+8°C	5	(49.8мм)
Ливерпуль	3	Март	+11.5°C	3	(32.2мм)
Ливерпуль	4	Апрель	+13°C	5	(41.8мм)
Ливерпуль	5	Май	+16.2°C	4	(70.6мм)
Ливерпуль	6	Июнь	+18.2°C	7	(72.7мм)
Ливерпуль	7	Июль	+22.5°C	5	(78.6мм)
Ливерпуль	8	Август	+19°C	6	(86.8мм)
Ливерпуль	9	Сентябрь	+19.5°C	5	(61.7мм)
Ливерпуль	10	Октябрь	+15°C	5	(71.3мм)
Ливерпуль	11	Ноябрь	+11.8°C	6	(66.3мм)
Ливерпуль	12	Декабрь	+9.5°C	8	(95.7мм)
Манчестер	1	Январь	+6.8°C	8	(78.0мм)
Манчестер	2	Февраль	+7.8°C	4	(63.8мм)
Манчестер	3	Март	+12°C	5	(49.5мм)
Манчестер	4	Апрель	+15°C	5	(57.6мм)
Манчестер	5	Май	+16.2°C	9	(79.2мм)
Манчестер	6	Июнь	+18.8°C	8	(94.1мм)
Манчестер	7	Июль	+23.2°C	8	(90.8мм)
Манчестер	8	Август	+18°C	7	(84.8мм)
Манчестер	9	Сентябрь	+19.5°C	3	(58.1мм)
Манчестер	10	Октябрь	+14°C	6	(72.9мм)
Манчестер	11	Ноябрь	+10°C	8	(77.4мм)
Манчестер	12	Декабрь	+8°C	9	(97.6мм)
Лондон	1	Январь	+8°C	4	(49.1мм)
Лондон	2	Февраль	+9.2°C	3	(34.6мм)
Лондон	3	Март	+14°C	1	(23.7мм)
Лондон	4	Апрель	+16.2°C	4	(36.8мм)
Лондон	5	Май	+18.8°C	5	(57.3мм)
Лондон	6	Июнь	+21.2°C	5	(56.1мм)
Лондон	7	Июль	+25°C	3	(65.4мм)
Лондон	8	Август	+21.5°C	3	(51.1мм)
Лондон	9	Сентябрь	+22°C	3	(28.2мм)
Лондон	10	Октябрь	+16.8°C	4	(47.5мм)
Лондон	11	Ноябрь	+12.2°C	4	(45.7мм)
Лондон	12	Декабрь	+8.8°C	6	(57.4мм)
Бирмингем	1	Январь	+6.8°C	4	(50.0мм)
Бирмингем	2	Февраль	+7.5°C	2	(43.0мм)
Бирмингем	3	Март	+12.8°C	2	(36.3мм)
Бирмингем	4	Апрель	+15.2°C	2	(51.5мм)
Бирмингем	5	Май	+17°C	5	(83.1мм)
Бирмингем	6	Июнь	+19.8°C	7	(78.2мм)
Бирмингем	7	Июль	+24.5°C	9	(89.4мм)
Бирмингем	8	Август	+19.5°C	5	(82.0мм)
Бирмингем	9	Сентябрь	+20.8°C	3	(49.2мм)
Бирмингем	10	Октябрь	+15.2°C	6	(58.6мм)
Бирмингем	11	Ноябрь	+10.2°C	2	(45.9мм)
Бирмингем	12	Декабрь	+8°C	3	(66.2мм)
